"","Basal III cells","Fibroblasts","Macrophages"
"HMDB0000620",6.47975688946609e-06,3.73590072518798e-06,-0.999999816464399
"HMDB0000621",1.2804171227456e-10,-0.999999999948768,4.25077382024504e-09
"HMDB0000622",7.47429898350983e-06,1.94723307940591e-05,3.968683999415e-09
"HMDB0000623",-0.999985606994794,-0.99996425945977,1.21280161512821e-08
"HMDB0000625",0.0462598733377744,0.00909719294597839,0.00349004773407758
"HMDB0000630",4.73004462338061e-08,2.67702284076483e-08,5.44078670134575e-09
"HMDB0000631",-0.989234626322848,-0.997391521716034,0.1162888337136
"HMDB0000637",-0.999999993606412,3.95326953897579e-09,3.05089145513764e-08
"HMDB0000638",-0.999996604845541,3.10791629319856e-06,2.78984921412494e-06
"HMDB0000641",-0.999241831622203,0.00134845290519215,-0.988038935188159
"HMDB0000643",0.000114747503735116,6.61112732499117e-05,-0.999999974753396
"HMDB0000646",3.42835201250992e-07,-0.999999557098702,8.68358333205979e-07
"HMDB0000660",-0.999999996187863,5.27230432341351e-09,4.46400544071025e-08
"HMDB0000661",6.40816342556116e-14,-0.999999999999376,0
"HMDB0000666",-0.999999932221774,-0.999999941581597,-0.999999983089021
"HMDB0000669",4.33711325943996e-10,4.20350962659166e-09,-0.99999999668214
"HMDB0000673",0.0387819015315778,0.0337873997669356,0.00682629148856613
"HMDB0000676",-0.977344141237164,0.0042177408121863,0.18648635653993
"HMDB0000678",-0.999999996781011,-0.999999997660098,-0.999999999571624
"HMDB0000679",-0.999999469469605,-0.999999641909744,-0.99999989699748
"HMDB0000682",4.14594836889501e-10,-0.999999999832209,-0.999999998880206
"HMDB0000684",-1.99999999174329,-1.99999999409707,-1.9999999848044
"HMDB0000687",-0.923351828393055,-0.997819914966022,-0.977740082976621
"HMDB0000691",-0.999999990542293,-0.999999991211372,3.86479840142215e-09
"HMDB0000692",-0.713540472474014,-0.493168412986024,-0.729707818140937
"HMDB0000695",-0.999991583724646,2.99174656392279e-08,1.55700955884318e-08
"HMDB0000696",-0.997430331875642,-0.960488698364196,-0.895539595869728
"HMDB0000698",3.20180548168301e-08,1.83926223311914e-08,2.52608795020907e-09
"HMDB0000699",1.14032551065491e-07,6.49647644821121e-08,-0.999999993211235
"HMDB0000700",4.77375462500951e-08,2.44723595483837e-08,1.1591549643535e-08
"HMDB0000707",0.00368155392608476,0.00291731023405645,-0.954047062764032
"HMDB0000708",7.84484046980729e-08,4.5296106836939e-08,2.01214798123007e-08
"HMDB0000710",2.8288252053706e-06,1.44078903210472e-06,9.22472871246767e-08
"HMDB0000714",2.93013315855123e-06,7.65695262624139e-06,-0.999998538739491
"HMDB0000716",2.23207901348143e-05,2.33930380740874e-05,7.15568206116562e-06
"HMDB0000717",-0.999999980380434,-0.999999999216353,-0.999999987054689
"HMDB0000719",-0.999999825520046,-0.999998936062667,-0.999999830785635
"HMDB0000721",0.0331730108755893,0.0409323694778217,2.97051567156606e-09
"HMDB0000722",5.45396045849549e-08,3.35101240586183e-08,-0.999999998728299
"HMDB0000725",2.43287482499192e-05,0.000376029427904273,-0.9999999904564
"HMDB0000730",1.02194779406186e-08,-0.999999995457089,-0.999999996302524
"HMDB0000733",-0.99999960735137,-0.999999812670876,-1.99999998754042
"HMDB0000738",-0.999999999829773,-0.999999999512416,2.28016496202888e-09
"HMDB0000742",0.0226361558712279,0.0267271560631387,-0.627252630885062
"HMDB0000745",-0.999999924957717,-0.999999762321188,-0.999999828276663
"HMDB0000752",1.13306485841589e-05,3.46377035125516e-06,1.92831353496996e-07
"HMDB0000754",-0.9999920755993,-0.999998914036562,3.0906519712995e-08
"HMDB0000755",0.00131545153886591,0.000449479744336158,0.0573338733832156
"HMDB0000756",2.90772137980659e-05,2.78880635088013e-05,-0.999756895920986
"HMDB0000757",-0.999939156459715,-0.999962182900854,-0.9999879830434
