test_ligand,auroc,aupr,pearson,target,target_weight,Sender,Target
TGFB1,0.508106019,0.128256313,0.055885907,AHR/CD86/COL1A1/COL4A1/COL5A1/CRYAB/CTLA4/CXCL10/FBN1/FN1/HSPB1/IFIT3/IGF1/ITGA5/LOXL1/LOXL2/MMP13/MMP8/MSR1/OAS1/PLAT/POSTN/SERPINE1/SOCS2/SOX9/TAGLN/THBS1/TJP1/TNF,0.00469079625632911/0.00479029368772346/0.00551568106052913/0.00485394028475774/0.00518054605732199/0.00461832386426685/0.00285268233680982/0.0042644906067313/0.00494533872999235/0.00583983968729012/0.0058713530651132/0.00466566099947073/0.00566017293649168/0.00489292483453546/0.00488498989928621/0.00519585533520799/0.00689669422180629/0.00296622337140264/0.00319786447902971/0.00454997413425298/0.00451954467713289/0.00556543482970622/0.00587025025317145/0.00437939856981626/0.0058129704724574/0.00666074381041192/0.00592596870735485/0.00467637738219293/0.00398806290438684,Endothelial-cells_Lung,NK-cells_Spleen
TGFB1,0.508106019,0.128256313,0.055885907,AHR/CD86/COL1A1/COL4A1/COL5A1/CRYAB/CTLA4/CXCL10/FBN1/FN1/HSPB1/IFIT3/IGF1/ITGA5/LOXL1/LOXL2/MMP13/MMP8/MSR1/OAS1/PLAT/POSTN/SERPINE1/SOCS2/SOX9/TAGLN/THBS1/TJP1/TNF,0.00469079625632911/0.00479029368772346/0.00551568106052913/0.00485394028475774/0.00518054605732199/0.00461832386426685/0.00285268233680982/0.0042644906067313/0.00494533872999235/0.00583983968729012/0.0058713530651132/0.00466566099947073/0.00566017293649168/0.00489292483453546/0.00488498989928621/0.00519585533520799/0.00689669422180629/0.00296622337140264/0.00319786447902971/0.00454997413425298/0.00451954467713289/0.00556543482970622/0.00587025025317145/0.00437939856981626/0.0058129704724574/0.00666074381041192/0.00592596870735485/0.00467637738219293/0.00398806290438684,Fibroblasts_Lung,NK-cells_Spleen
IL1B,0.488251815,0.1283566,0.055119279,ADAM15/ADAMTS4/AREG/BGN/C1QB/C1S/C4A/CAV1/CCL7/COL1A1/CSF1/CXCL10/CXCL12/EPAS1/FN1/IGFBP5/IL13RA1/IL1R2/INHBA/LAMA4/MMP12/MMP13/MMP3/PLAT/SERPINE1/SOX9/THRA/TNF/TNFAIP6/TRAF6/VCAM1/VCAN,0.00498984755065295/0.0062124402077904/0.00678499376436745/0.00556725311719056/0.00586359418867589/0.00515414807428778/0.0103514792879331/0.00462346515388925/0.00856922250413667/0.00432704969277202/0.00632249819196331/0.00602508451228127/0.00473051781521624/0.00464891908539874/0.00471508674511481/0.00462666346579045/0.00476765015397886/0.00566054274896508/0.00511984124811278/0.00535707891642765/0.00740596900968595/0.0068031420531532/0.00673911747712635/0.00462272691470985/0.00582539956101891/0.00445932893547945/0.00477813963127569/0.00448758651897985/0.00772607969925218/0.00445786507883935/0.00561872635862775/0.00484051678696276,B-cells_Muscle,NK-cells_Spleen
IL1B,0.488251815,0.1283566,0.055119279,ADAM15/ADAMTS4/AREG/BGN/C1QB/C1S/C4A/CAV1/CCL7/COL1A1/CSF1/CXCL10/CXCL12/EPAS1/FN1/IGFBP5/IL13RA1/IL1R2/INHBA/LAMA4/MMP12/MMP13/MMP3/PLAT/SERPINE1/SOX9/THRA/TNF/TNFAIP6/TRAF6/VCAM1/VCAN,0.00498984755065295/0.0062124402077904/0.00678499376436745/0.00556725311719056/0.00586359418867589/0.00515414807428778/0.0103514792879331/0.00462346515388925/0.00856922250413667/0.00432704969277202/0.00632249819196331/0.00602508451228127/0.00473051781521624/0.00464891908539874/0.00471508674511481/0.00462666346579045/0.00476765015397886/0.00566054274896508/0.00511984124811278/0.00535707891642765/0.00740596900968595/0.0068031420531532/0.00673911747712635/0.00462272691470985/0.00582539956101891/0.00445932893547945/0.00477813963127569/0.00448758651897985/0.00772607969925218/0.00445786507883935/0.00561872635862775/0.00484051678696276,Dendritic-cells_Muscle,NK-cells_Spleen
IL1B,0.488251815,0.1283566,0.055119279,ADAM15/ADAMTS4/AREG/BGN/C1QB/C1S/C4A/CAV1/CCL7/COL1A1/CSF1/CXCL10/CXCL12/EPAS1/FN1/IGFBP5/IL13RA1/IL1R2/INHBA/LAMA4/MMP12/MMP13/MMP3/PLAT/SERPINE1/SOX9/THRA/TNF/TNFAIP6/TRAF6/VCAM1/VCAN,0.00498984755065295/0.0062124402077904/0.00678499376436745/0.00556725311719056/0.00586359418867589/0.00515414807428778/0.0103514792879331/0.00462346515388925/0.00856922250413667/0.00432704969277202/0.00632249819196331/0.00602508451228127/0.00473051781521624/0.00464891908539874/0.00471508674511481/0.00462666346579045/0.00476765015397886/0.00566054274896508/0.00511984124811278/0.00535707891642765/0.00740596900968595/0.0068031420531532/0.00673911747712635/0.00462272691470985/0.00582539956101891/0.00445932893547945/0.00477813963127569/0.00448758651897985/0.00772607969925218/0.00445786507883935/0.00561872635862775/0.00484051678696276,Endothelial-cells_Joint,NK-cells_Spleen
IL1B,0.488251815,0.1283566,0.055119279,ADAM15/ADAMTS4/AREG/BGN/C1QB/C1S/C4A/CAV1/CCL7/COL1A1/CSF1/CXCL10/CXCL12/EPAS1/FN1/IGFBP5/IL13RA1/IL1R2/INHBA/LAMA4/MMP12/MMP13/MMP3/PLAT/SERPINE1/SOX9/THRA/TNF/TNFAIP6/TRAF6/VCAM1/VCAN,0.00498984755065295/0.0062124402077904/0.00678499376436745/0.00556725311719056/0.00586359418867589/0.00515414807428778/0.0103514792879331/0.00462346515388925/0.00856922250413667/0.00432704969277202/0.00632249819196331/0.00602508451228127/0.00473051781521624/0.00464891908539874/0.00471508674511481/0.00462666346579045/0.00476765015397886/0.00566054274896508/0.00511984124811278/0.00535707891642765/0.00740596900968595/0.0068031420531532/0.00673911747712635/0.00462272691470985/0.00582539956101891/0.00445932893547945/0.00477813963127569/0.00448758651897985/0.00772607969925218/0.00445786507883935/0.00561872635862775/0.00484051678696276,Endothelial-cells_Lung,NK-cells_Spleen
IL1B,0.488251815,0.1283566,0.055119279,ADAM15/ADAMTS4/AREG/BGN/C1QB/C1S/C4A/CAV1/CCL7/COL1A1/CSF1/CXCL10/CXCL12/EPAS1/FN1/IGFBP5/IL13RA1/IL1R2/INHBA/LAMA4/MMP12/MMP13/MMP3/PLAT/SERPINE1/SOX9/THRA/TNF/TNFAIP6/TRAF6/VCAM1/VCAN,0.00498984755065295/0.0062124402077904/0.00678499376436745/0.00556725311719056/0.00586359418867589/0.00515414807428778/0.0103514792879331/0.00462346515388925/0.00856922250413667/0.00432704969277202/0.00632249819196331/0.00602508451228127/0.00473051781521624/0.00464891908539874/0.00471508674511481/0.00462666346579045/0.00476765015397886/0.00566054274896508/0.00511984124811278/0.00535707891642765/0.00740596900968595/0.0068031420531532/0.00673911747712635/0.00462272691470985/0.00582539956101891/0.00445932893547945/0.00477813963127569/0.00448758651897985/0.00772607969925218/0.00445786507883935/0.00561872635862775/0.00484051678696276,Endothelial-cells_Skin,NK-cells_Spleen
IL1B,0.488251815,0.1283566,0.055119279,ADAM15/ADAMTS4/AREG/BGN/C1QB/C1S/C4A/CAV1/CCL7/COL1A1/CSF1/CXCL10/CXCL12/EPAS1/FN1/IGFBP5/IL13RA1/IL1R2/INHBA/LAMA4/MMP12/MMP13/MMP3/PLAT/SERPINE1/SOX9/THRA/TNF/TNFAIP6/TRAF6/VCAM1/VCAN,0.00498984755065295/0.0062124402077904/0.00678499376436745/0.00556725311719056/0.00586359418867589/0.00515414807428778/0.0103514792879331/0.00462346515388925/0.00856922250413667/0.00432704969277202/0.00632249819196331/0.00602508451228127/0.00473051781521624/0.00464891908539874/0.00471508674511481/0.00462666346579045/0.00476765015397886/0.00566054274896508/0.00511984124811278/0.00535707891642765/0.00740596900968595/0.0068031420531532/0.00673911747712635/0.00462272691470985/0.00582539956101891/0.00445932893547945/0.00477813963127569/0.00448758651897985/0.00772607969925218/0.00445786507883935/0.00561872635862775/0.00484051678696276,Erythrocytes_Muscle,NK-cells_Spleen
IL1B,0.488251815,0.1283566,0.055119279,ADAM15/ADAMTS4/AREG/BGN/C1QB/C1S/C4A/CAV1/CCL7/COL1A1/CSF1/CXCL10/CXCL12/EPAS1/FN1/IGFBP5/IL13RA1/IL1R2/INHBA/LAMA4/MMP12/MMP13/MMP3/PLAT/SERPINE1/SOX9/THRA/TNF/TNFAIP6/TRAF6/VCAM1/VCAN,0.00498984755065295/0.0062124402077904/0.00678499376436745/0.00556725311719056/0.00586359418867589/0.00515414807428778/0.0103514792879331/0.00462346515388925/0.00856922250413667/0.00432704969277202/0.00632249819196331/0.00602508451228127/0.00473051781521624/0.00464891908539874/0.00471508674511481/0.00462666346579045/0.00476765015397886/0.00566054274896508/0.00511984124811278/0.00535707891642765/0.00740596900968595/0.0068031420531532/0.00673911747712635/0.00462272691470985/0.00582539956101891/0.00445932893547945/0.00477813963127569/0.00448758651897985/0.00772607969925218/0.00445786507883935/0.00561872635862775/0.00484051678696276,Fibroblasts_Joint,NK-cells_Spleen
IL1B,0.488251815,0.1283566,0.055119279,ADAM15/ADAMTS4/AREG/BGN/C1QB/C1S/C4A/CAV1/CCL7/COL1A1/CSF1/CXCL10/CXCL12/EPAS1/FN1/IGFBP5/IL13RA1/IL1R2/INHBA/LAMA4/MMP12/MMP13/MMP3/PLAT/SERPINE1/SOX9/THRA/TNF/TNFAIP6/TRAF6/VCAM1/VCAN,0.00498984755065295/0.0062124402077904/0.00678499376436745/0.00556725311719056/0.00586359418867589/0.00515414807428778/0.0103514792879331/0.00462346515388925/0.00856922250413667/0.00432704969277202/0.00632249819196331/0.00602508451228127/0.00473051781521624/0.00464891908539874/0.00471508674511481/0.00462666346579045/0.00476765015397886/0.00566054274896508/0.00511984124811278/0.00535707891642765/0.00740596900968595/0.0068031420531532/0.00673911747712635/0.00462272691470985/0.00582539956101891/0.00445932893547945/0.00477813963127569/0.00448758651897985/0.00772607969925218/0.00445786507883935/0.00561872635862775/0.00484051678696276,Fibroblasts_Lung,NK-cells_Spleen
