"ReactionID","ReactionName","Name","Status"
"EX_hdca24g[e]","EX_hdca24g(e)","Hyodeoxycholic acid-24glucuronide, HDCA-24G",0
"EX_hdca6g[e]","EX_hdca6g(e)","Hyodeoxycholic acid-6glucuronide, HDCA-6G",0
"EX_hyochol[e]","EX_hyochol(e)","Hyocholic acid; gamma-Muricholate",0
"EX_icdchol[e]","EX_icdchol(e)","Isochenodeoxycholic acid; 3beta,7alpha-Dihydroxy-5beta-cholanic acid",0
"EX_isochol[e]","EX_isochol(e)","Isochenodeoxycholic acid; 3beta,7alpha,12alpha-Trihydroxy-5beta-cholanic acid",0
"EX_lca24g[e]","EX_lca24g(e)","Lithocholic acid-24glucuronide, CDCA-24G",0
"EX_lca3g[e]","EX_lca3g(e)","Lithocholic acid-3glucuronide, CDCA-3G",0
"EX_lca3s[e]","EX_lca3s(e)","Lithocholic acid 3-sulfate",1
"EX_tca3s[e]","EX_tca3s(e)","Taurocholic acid 3-sulfate",0
"EX_tcdca3s[e]","EX_tcdca3s(e)","Taurochenodeoxycholic acid 3-sulfate",0
"EX_tdca3s[e]","EX_tdca3s(e)","Taurodeoxycholic acid 3-sulfate",0
"EX_thyochol[e]","EX_thyochol(e)","Taurohyocholic acid; N-(3alpha,6alpha,7alpha-Trihydroxy-5beta-cholan-24-oyl)taurine",0
"EX_tudca3s[e]","EX_tudca3s(e)","Tauroursodeoxycholic acid 3-sulfate",0
"EX_uchol[e]","EX_uchol(e)","Ursocholic acid; 3alpha,7beta,12alpha-Trihydroxy-5beta-cholan-24-oic acid; 3alpha,7beta,12alpha-Trihydroxy-5beta-cholanic acid; 7beta-Hydroxyisocholic acid; 7-Epicholic acid",0
"EX_udca3s[e]","EX_udca3s(e)","Ursodeoxycholic acid 3-sulfate",1
"EX_12htacr[e]","exchange reaction for 12-hydroxy tacrolimus in intestinal lumen","12-HT or M-VI, 12-hydroxy tacrolimus",0
"EX_1331tacr[e]","exchange reaction for 13,31-O-Didesmethyl-tacrolimus in hepatic vein","13,31-O-Didesmethyl-tacrolimus",0
"EX_13dmt[e]","exchange reaction for 13-O-desmethyl tacrolimus in intestinal lumen","13-O-desmethyl tacrolimus, 13-DMT or M-I",0
"EX_14hmdz[e]","exchange reaction for 1,4-Dihydroxy-midazolam in hepatic vein","1,4-Dihydroxy-midazolam",0
"EX_1513tacr[e]","exchange reaction for 13,15-O-didesmethyl tacrolimus in intestinal lumen","13,15-O-didesmethyl tacrolimus",0
"EX_1531tacr[e]","exchange reaction for 15, 31-O-Didesmethyl-tacrolimus in hepatic vein","15,31-O-Didesmethyl-tacrolimus",0
"EX_15dmt[e]","exchange reaction for 15-O-desmethyl tacrolimus in intestinal lumen","15-DMT or M-III, 15-O-desmethyl tacrolimus",0
"EX_1hibup_S[e]","exchange reaction for 1-hydroxy-ibuprofen in hepatic vein","1-hydroxy S-ibuprofen",0
"EX_1hibupglu_S[e]","exchange reaction for 1-hydroxy S-ibuprofen-glucuronide in hepatic vein","1-hydroxy S-ibuprofen-glucuronide",0
"EX_1hmdgluc[e]","exchange reaction for 1-OH-midazolam-glucuronide in portal blood","1'-OH-midazolam-glucuronide",0
"EX_1ohmdz[e]","exchange reaction for 1-OH-midazolam in portal blood","1'-OH-midazolam",0
"EX_2hatvacid[e]","exchange reaction for 2-hydroxy-atorvastatin-acid in portal blood","2-hydroxy-atorvastatin-acid / ortho-hydroxy-atorvastatin acid",0
