"","B cells","Dendritic cells","Erythrocytes","Monocytes","NK cells","T cells"
"HMDB0000207",0.00542724419162005,0.000995472166278156,0.000243272506626907,0.00376875922870763,0.00283268002323594,-0.999938589326383
"HMDB0000209",-0.999979152892518,-0.999999216468302,-0.999991917882619,-0.999987560267802,-0.999981379617861,-0.999996136423008
"HMDB0000210",9.65222325128714e-05,0.00166235686959383,0.000162352826143748,0.000252252610517837,0.000269330450805658,0.000318589642414865
"HMDB0000211",-0.998787505805849,1.32324937014029e-08,-0.999999999964285,-0.998910711962996,3.51153910966416e-09,-0.99978294922084
"HMDB0000212",1.49604426093657e-05,3.22066671111162e-08,3.09239175182687e-06,4.21392284307431e-07,3.29125920964275e-06,-0.999998738418952
"HMDB0000214",-0.972891108973509,-0.902774128096106,-0.897504511879139,-0.97986278237769,-0.954612289656158,-0.768999097933282
"HMDB0000215",5.49883331787146e-07,-0.999998959504243,-0.999999998971752,7.03865238308405e-11,-0.999999998943681,3.31939854018723e-10
"HMDB0000216",1.01980054884813e-07,5.61647900653351e-09,5.44742326462493e-08,7.33451920747717e-08,2.14942259240824e-08,-0.999999979305064
"HMDB0000217",2.42169759231684e-06,-0.999796865378994,1.3706766109083e-09,1.41114042668686e-06,-0.999996336875077,-0.999994781594676
"HMDB0000220",0.00367485651129554,0.000718982369060338,-0.999232855786212,0.000655998744066669,0.00115733367678884,0.000216199759679507
"HMDB0000222",-0.99958808037942,-0.999999999169336,0.000236450550999994,0.00130313775454481,0.00044022077092378,-0.999999991192107
"HMDB0000223",0.00212991601647465,0.100625633982739,-0.97351849582391,-0.967821497353081,-0.989315008225815,0.12590037327696
"HMDB0000226",5.19449429000149e-05,3.04449051696902e-09,2.36872864889173e-09,-0.999945642351815,-0.999999989706134,1.16486981411049e-05
"HMDB0000230",-0.999991970531466,-0.999998775726976,-0.999999410454989,-0.999999738964619,2.25458294651184e-07,-0.999999806175691
"HMDB0000234",-0.999998906932636,-0.999999275062976,-0.999999986152026,-0.999999697024038,-0.999999584941445,-1.99999998945837
"HMDB0000235",2.26560569610501e-06,2.4455298589696e-06,-0.999998291433361,-0.999999798288337,-0.999998996639099,2.27651522040981e-07
"HMDB0000237",-0.999970236082685,-0.999999642059701,1.12046234137333e-05,0.00117944426760744,0.00477903425927585,0.000693380764521654
"HMDB0000239",-0.987954327810045,1.99620199244314e-09,-0.964766431352073,-0.996304271712766,-0.972896663896538,-0.963649510414305
"HMDB0000240",0.0146714833694757,0.00465790487590294,0.0190933256856675,-0.978216589905813,-0.975763371707988,-0.982562817734943
"HMDB0000241",2.5458989374639e-07,1.729657314296e-08,8.28811882527892e-07,1.36030195170149e-06,6.01248840871998e-09,6.33075271363034e-07
"HMDB0000243",0.00584515086269682,2.43262763713674e-08,0.0292452971560176,-0.986191624336765,-0.993843238004282,0.0547240313018235
"HMDB0000244",5.51805670891859e-05,4.08854978705796e-08,4.25921742531354e-05,1.83703601205256e-05,2.26738050527901e-05,3.19119817172967e-06
"HMDB0000246",5.6185424097814e-07,-0.999999999155228,-0.999997796464582,-0.999997412919244,-0.999996836325564,-0.999999994237912
"HMDB0000247",0.00471499050803835,-0.999999701732969,0.0249706439918254,-0.991792474294273,-0.998401292461454,-0.97184952305164
"HMDB0000248",-0.999999973898245,4.03255494046094e-09,-0.999999998764153,-0.999999993270244,-0.999999994911817,1.05733075503761e-09
"HMDB0000250",0.0080096495122745,0.156918675791066,-0.966202080172735,-0.970588329206382,-0.955158362784271,0.127147346786889
"HMDB0000251",6.94585452025751e-05,6.46644151935681e-05,6.47554481263064e-05,6.72593127173499e-05,0.000121334029391295,5.56865585048529e-05
"HMDB0000252",0.00132142748130474,0.00770299994819518,-0.991729729094888,0.00375179824867859,0.00247673159551278,0.00995252609687376
"HMDB0000253",3.02809640768936e-08,9.331172980517e-09,3.00069565599622e-09,8.73353634346972e-09,9.63349321083158e-09,1.34430175287393e-09
"HMDB0000254",5.11663343046592e-08,-0.999999977858495,-0.999999917248498,2.70074388669514e-08,2.47619394757202e-08,-0.999999991778759
"HMDB0000256",6.31594947062938e-08,-0.999999967408882,-0.999999986706584,2.3214133782788e-08,2.33904439700349e-08,1.02412355454576e-08
"HMDB0000257",1.20112615179021e-07,-0.999995460813846,2.79777430179148e-06,-0.999998626660023,6.448887267844e-07,5.63839978355954e-08
"HMDB0000258",7.26826450395183e-11,1.41966017134661e-09,9.1029353826604e-10,4.78648907806017e-10,2.88281285379979e-09,-0.999999998126389
"HMDB0000259",-0.99999997663708,-0.999999996613955,-0.999999993892237,-0.999999995316004,-0.999999987258224,-0.999999992333917
