"","Endothelial cells","Fibroblasts","Macrophages","Myocytes","Neutrophils","NK cells","T cells"
"HMDB0000195",0.00188188950766316,-0.997921877695902,0.000629187531156012,-0.999931856067651,-0.999370451738362,-0.999966078309437,-0.999706846751757
"HMDB0000197",-1.94034572960917,-1.98886286806382,-1.96701086000215,-1.94911892777856,-0.948610108760232,-0.879717439168566,-1.93824633901603
"HMDB0000201",-0.999940745228541,-0.999856513712034,5.87292889632208e-05,0.000841847589473592,0.000123893960297888,2.16148552500715e-08,0.000189768724656769
"HMDB0000202",0.000542269854791739,8.28120555418212e-06,-0.999999325164013,-0.999993413814725,-0.999882699736478,-0.99950465695287,-0.999994976483493
"HMDB0000205",0.000682007348112522,-0.999361446295148,0.00352388546719304,-0.999265032327911,0.00461269625572148,0.0064350991667431,-0.99996926184567
"HMDB0000207",0.0142018494812692,0.0271314271766452,0.0214857448093985,0.0651772790199942,0.00553805812370953,0.00482712779219237,0.0531868692193222
"HMDB0000209",5.3780526593611e-07,-0.999999028080768,-0.999998332363054,-0.999997496899682,-0.999999311444664,2.59657689939467e-07,-0.999999586333283
"HMDB0000210",0.00347455267909676,0.000693424054404621,0.000194405374873118,4.76591939546415e-05,0.00453781390729246,0.00784194134429027,9.98373137528194e-05
"HMDB0000211",-0.998867043195221,-0.999697753396149,-0.999386287690227,-0.999210022517864,-0.999856576395213,1.11482043509256e-08,-0.998814878070915
"HMDB0000212",5.455594512396e-06,1.88146440886032e-05,8.48814710310586e-06,-0.999995779283784,2.83788847841891e-05,4.53410781149771e-08,-0.999996498282706
"HMDB0000214",-0.978428603567848,-0.863359308789344,-0.871005157241537,-0.994302987953736,-0.91994601262254,-0.922042300986168,-0.913570079997996
"HMDB0000215",5.99358585683998e-07,2.3809713930205e-07,4.0698671706952e-07,1.55950445822203e-07,-0.999999096848515,-0.999999999877174,-0.999999814189015
"HMDB0000216",1.22871586060689e-08,1.98364591563019e-10,1.7811126554889e-08,-0.99999999408473,-0.99999999523646,6.83513274454518e-09,-0.999999988754123
"HMDB0000217",4.68830384507349e-09,1.03506835968372e-08,-0.999273884631984,-0.999949110664042,3.17416210622458e-09,3.11129624932613e-09,-0.999867648763193
"HMDB0000220",0.00498777033280482,0.0186004611366088,0.014314794482015,0.0488312302161892,-0.99449134074767,0.00218386382290639,0.0395094645824953
"HMDB0000222",0.00316902135934134,0.000653291997988842,0.000138305696378294,-0.999866855961589,-0.999687954327357,2.20080611124738e-08,-0.999583462067799
"HMDB0000223",-0.987974667216474,-0.865508973700892,0.0656211211591243,0.00495533227645117,-0.9531013553785,0.275727024002419,0.00299597894990438
"HMDB0000226",2.3362569872245e-05,2.3166873602351e-05,1.17963856291753e-05,3.09563751263689e-05,2.62349536011017e-05,2.65135846211947e-05,1.59765323451056e-05
"HMDB0000230",1.51451214568324e-06,1.45690126797929e-07,8.07569434212741e-07,-0.999999016729568,-0.999999928530053,1.65720647862214e-07,1.36291195658773e-06
"HMDB0000234",-0.999999970316121,1.77219191973616e-07,-1.99999979636954,7.42720197327677e-09,2.60070138261571e-09,-0.999999477283805,1.83023729847215e-08
"HMDB0000235",-0.999999687898694,2.83358916580267e-08,4.53055100231084e-07,1.70088200661779e-06,2.34726731690047e-07,4.29639768673011e-07,-0.999999372101888
"HMDB0000237",0.00929922824919986,0.00338288102755351,0.000533082816750451,-0.999992778872252,0.00588285351624934,-0.9999283179853,5.81500333566996e-05
"HMDB0000239",9.4158462604291e-10,-0.984309186996,-0.993351659479781,-0.976249811367437,-0.960235611042893,-0.957358730176449,-0.986833033274053
"HMDB0000240",-0.996935402305164,0.000804895148384083,0.0602299745763086,-0.981304282805754,-0.947449425946628,-0.996036516072389,0.023582054961416
"HMDB0000241",8.12121801326228e-09,-0.999999999240613,2.31489678600466e-10,-0.999999996756093,-0.999999998968228,1.56689239961097e-08,-0.999999997623883
"HMDB0000243",0.0511080692683531,0.0228386866535329,0.046018552989302,0.00322951028677263,0.0626928963199543,0.0928232174445707,0.0354318689244389
"HMDB0000244",0.000687486900747664,0.00109205286810619,1.18352763296356e-05,-0.999974147998584,2.97937863754696e-06,2.56021514843186e-06,-0.999999681620039
"HMDB0000246",1.60008621767113e-06,9.51832102913127e-07,-0.999999817376498,1.70665683364e-06,-0.999999991839202,-0.999996545057774,-0.999999259361348
"HMDB0000247",0.108195477736298,0.102603171751061,0.124235479460278,-0.961485188693472,-0.863661692908181,-0.966677228483425,0.0393598680220684
"HMDB0000248",2.53464105795657e-10,8.14412138963018e-11,1.16659384667798e-09,-0.999999999397526,3.28649240554608e-11,7.97628529096498e-10,1.1996818686786e-09
"HMDB0000250",0.124395892478697,-0.834809898318393,-0.925954814435825,0.0320494597414849,0.204239234189516,0.087745731340095,-0.971864629105553
"HMDB0000251",0.00542043858940683,0.000491060488238268,0.000102338634447312,-0.999999764232202,0.00117803251053469,0.00239506629185627,8.99607553755976e-06
"HMDB0000252",-0.968760271053046,-0.978296831015309,0.0102870207649948,0.00672369390156779,0.0148629785589679,0.0133215144251604,0.00988503543544273
"HMDB0000253",-0.999999999948661,4.03708971248575e-10,6.5818095385124e-09,-0.99999999850927,-0.999999999804093,7.73185807329683e-09,-0.99999999947502
"HMDB0000254",1.68286786935073e-09,1.6095500328412e-08,5.43057228639923e-10,1.31517841948479e-09,-0.999999974904805,3.11267174690767e-08,1.70941596238374e-08
"HMDB0000256",-0.999999991711877,6.9723311143497e-09,1.2333650413232e-08,4.70531362805491e-08,1.57336751103997e-08,-0.999999990600497,8.87188362792655e-09
"HMDB0000257",6.62934669369709e-07,2.25769631503028e-07,-0.999999748987603,-0.999999288747383,3.25067017492915e-07,-0.999999993788369,-0.999999845551618
"HMDB0000258",-0.999999998972689,-0.999999999788474,-0.999999999665757,-0.999999998824552,1.27304170096689e-09,1.28652251636824e-09,-0.999999998385453
"HMDB0000259",-0.999999999778595,1.71360987700383e-09,2.57988595248179e-09,1.71723605738232e-09,-0.99999999776256,-0.999999997307681,1.04630131990875e-09
"HMDB0000262",1.12591683096143e-09,1.37883651046277e-09,9.93887316536022e-10,8.82104792463276e-09,4.64064861846861e-10,1.69872119304861e-09,5.80540066552482e-09
"HMDB0000263",-0.909380197650339,-0.895058811410654,-0.805070849949922,0.00334813115694234,0.0732735328046397,-0.975834144027292,0.0772432018682759
"HMDB0000265",1.78562873007268e-11,-0.999999999409959,6.10621147534824e-09,2.40674025593829e-09,-0.999999998796322,-0.999999999006953,1.15424361217271e-09
"HMDB0000267",-0.999999647910386,4.41577661372382e-07,-0.999999466936385,-0.999999799711398,1.25453351194039e-06,5.80905878617877e-09,-0.99999984175457
"HMDB0000269",-0.949392151747042,0.0207666728336568,-0.991009305311963,-0.999878616494525,0.00477069365685961,0.0227324239648097,0.000930681397117362
"HMDB0000271",2.09209339261581e-09,-0.999999996232073,-0.999999998531876,-0.99999997358507,1.59929880753958e-09,2.10572969391376e-09,-0.999999984758993
"HMDB0000272",0.00824279748779288,0.00734368525679637,0.0177217348840345,-0.990931998299332,0.0277577635395658,0.00744574619747505,0.00404018049401356
"HMDB0000273",-0.999999962162915,4.94469234808465e-05,7.85626058455091e-06,0.000107460777575366,-0.999999936699074,3.26074784469167e-08,0.00011049388962663
"HMDB0000277",0.0399942852758916,0.0207796336445681,-0.964789436579142,-0.9985534804937,-0.983894179259421,-0.994641416365221,-0.998812348709417
"HMDB0000279",-0.999999999715737,-0.999999997164631,6.28063120440755e-10,2.48829922635126e-08,1.98657266717707e-09,1.20288373001404e-08,-0.999999976857228
"HMDB0000283",-0.999935240318785,0.000261303578686717,-0.999999999266408,-0.999947173688146,0.000754176730627216,-0.999999996400708,-0.999938734033157
"HMDB0000285",0.0204872107486128,0.0101711900263574,-0.988306438365075,-0.998804682640986,-0.996502706345896,-0.968860958711614,0.00184909117104064
"HMDB0000288",-0.992705821526705,-0.996421027311853,0.00920080488014235,0.000668380368443761,-0.994175969417677,0.0190881234515399,-0.998710616522051
"HMDB0000289",0.00248204223666372,-0.985935735255288,-0.995818691860356,0.00347703930702531,0.0027072682953031,-0.992063326379428,-0.999765982100282
"HMDB0000291",1.59554082656243e-06,5.17391651590024e-10,-0.999999999541867,-0.99999999748125,5.22096891554857e-09,7.89186506227003e-09,8.42771640545492e-10
"HMDB0000292",-0.999973207004037,-0.999974142598578,-0.999989710023724,-0.999989055119837,-0.9999742694019,-0.999981471497094,-0.999987335328748
"HMDB0000293",3.39847896516249e-07,-0.999997304988998,-0.999997193850324,-0.999983134836715,-0.99999907123903,1.09046674613161e-06,-0.999995957612122
"HMDB0000294",0.000628336364481854,0.0144226537095296,0.00490455120091552,-0.996536827905574,-0.999051193412121,0.00793249222189677,0.000308369238795747
"HMDB0000295",-0.99853209862337,-0.999495718469071,-0.999984921982517,5.94174399104842e-05,-0.99965290563675,-0.998797718335436,1.49751548273329e-05
"HMDB0000296",0.00816587848035854,-0.996185958586152,-0.996276639290948,-0.999269812013219,0.0088172618806433,0.0123810693528183,-0.999451893528755
"HMDB0000299",-0.999998700297675,-0.999999332020762,3.45495644094838e-07,1.22950694086413e-05,9.21774312627123e-06,1.1546145367907e-06,-0.999992169447025
"HMDB0000300",1.1490772485765e-08,1.84193635742627e-08,1.09509151034984e-08,1.0560173935845e-07,6.31589188993668e-09,5.48968285065403e-09,6.28432022831881e-08
"HMDB0000301",2.23921082467739e-09,-0.999999993506498,2.12057462957741e-08,-0.999999917264527,-0.999999994794819,8.72004005060434e-09,-0.999999948512066
"HMDB0000302",-0.999995502301967,-0.999989332070452,-0.999995110627537,-0.99995603322765,-0.999997707013134,-0.999996899315405,-0.999969866275366
"HMDB0000303",6.4848508085807e-11,1.82159733748896e-11,2.66144936573001e-10,1.55171380304511e-09,-0.999999999738409,-0.999999999131974,7.55336644326267e-10
"HMDB0000305",-0.999999854768632,2.13182358790867e-07,-0.999999631863305,-0.999999496853899,-0.999999999701748,1.24221795276358e-09,4.81010620582403e-07
"HMDB0000306",3.37713061315726e-09,5.4274213447485e-09,3.93342918119445e-09,1.82383694290251e-08,1.96432194366397e-09,2.68465211690857e-09,1.17383568616626e-08
"HMDB0000321",0.0298035427229533,0.0659618005115781,0.089122430676687,-0.980577229219612,0.0704353152610333,0.0183675514114157,-0.979003799282395
