"","B cells","Dendritic cells","Erythrocytes","Monocytes","NK cells","T cells"
"HMDB0000151",2.44785155389423e-07,-0.999999783446115,1.22398988628574e-07,3.90479126764896e-08,-0.999999687005071,-0.999999093529212
"HMDB0000152",1.83007484203889e-09,-0.999999999860495,6.64829435230921e-10,-0.999999999956486,8.86780067047884e-10,7.70055673449686e-11
"HMDB0000153",-0.999999860486171,-0.999999818805812,-0.99999991710847,-0.999999814306206,-0.999999965423721,4.7867709469135e-07
"HMDB0000156",0.0200525221425496,-0.985335205243279,0.0182785954746494,0.0240380197715758,-0.958280277504666,-0.963523976715828
"HMDB0000157",-0.999999983487341,-0.999999991041917,-0.999999995326591,-0.999999990860719,-0.999999993310441,-0.999999995373799
"HMDB0000158",-0.996548730820514,-0.994802619514257,-0.991957037038105,-0.99420015233692,-0.994751730132993,-0.989938605824307
"HMDB0000159",-1.99769562608159,-0.99496635018565,0.0133416825552691,-1.99900062224401,-0.998032181589458,-0.999366467359661
"HMDB0000161",0.00228048626725733,0.0161668209773535,0.057396422494183,0.00513463755962573,0.030720512668699,0.037385137544474
"HMDB0000162",-0.946899064839528,-0.959041645836743,-0.986713024273904,-0.951877969250772,-0.934248107718918,-0.932542984282338
"HMDB0000163",6.43892749802384e-10,7.1272509074352e-10,-0.999999999929894,3.67948879000657e-10,2.41990899662375e-09,1.10880318229877e-09
"HMDB0000164",-0.99999999934279,-0.99999999878721,-0.999999998863342,-0.999999998988328,-0.999999999613239,4.9459113915296e-10
"HMDB0000167",-0.996432197540296,-0.974911061441596,-0.963954443627112,-0.992240095935077,-0.977822978686157,-0.968466178981427
"HMDB0000168",-0.998373818283665,-0.998408107344972,0.00108002630403453,-0.998899663961543,-0.999916116669766,0.00154546892017497
"HMDB0000169",-0.999995821797213,-0.999997552533568,-0.999999026471672,-0.999998611989425,-0.999998297931404,-0.999999860504671
"HMDB0000172",-0.998030632397543,-0.997526880897609,-0.999629127811442,-0.997507943327477,-0.997579658596084,-0.997008088089071
"HMDB0000174",8.79773172555138e-08,9.47517719572298e-07,8.88836479463985e-07,-0.999999654516486,3.83622713807687e-07,2.15499342125901e-08
"HMDB0000175",-0.99996045599686,-0.999849701737911,1.91395492697487e-06,-0.99994635671887,3.54807550905011e-05,-0.999855332822454
"HMDB0000177",0.00319485781081999,-0.999662095487054,-0.983047827341615,0.00289126753486272,0.00587523798316201,-0.989535552211265
"HMDB0000181",0.00112284895211072,-0.988314444995923,0.0622741597620896,-0.995200989069889,-0.985967652074726,-0.980362559159124
"HMDB0000182",-0.99410040361358,-0.995407478383789,-0.981228183993969,-0.990716474141388,-0.986968935992918,-0.98795131320776
"HMDB0000186",0.0376776012709356,-0.976409168822718,-0.957872230211806,-0.980261402257602,-0.983421959368626,0.0215658806426708
"HMDB0000187",-0.995031960087313,-0.995945462700828,0.00068087824082829,-0.995935085532469,-0.999076954168672,0.00186940031886479
"HMDB0000189",-0.999983666533333,-0.999992521526401,-0.999994342427338,-0.999991145047163,-0.999992869291821,-0.999996095367357
"HMDB0000190",0.000245703632003231,-1.96802967919082,0.0379926092462574,-0.972552840954472,-1.98051956097476,0.00774717674558769
"HMDB0000191",0.00511294712051233,0.00428297486242133,0.00122138005264935,0.00980127077688642,0.0143787724880788,0.0263254072491767
"HMDB0000192",-0.998539596350678,-0.999073619983322,-0.999999997976948,-0.997394611219243,-0.999999998453379,-0.999999996166798
"HMDB0000193",0.0117008968511286,0.105293836777521,0.0533085174912088,-0.967288512529144,0.109514341536703,-0.999294917983472
"HMDB0000195",-0.999800284309945,0.000171106941093717,2.44497003900682e-05,-0.999925237665004,-0.999838182914926,8.92915989392266e-05
"HMDB0000197",-0.998294357302513,-1.96710398383006,-0.962007432017861,-1.96994844809146,-1.98052295252457,-1.99225374490645
"HMDB0000201",0.000664003481052176,-0.999280275632592,-0.999693301940515,0.00103773050612813,0.000481601726554389,0.000195331311101411
"HMDB0000202",-0.999998152807286,6.7744454795179e-07,5.16915042842057e-08,1.71207133101995e-05,5.14012210276952e-06,2.7110396209254e-06
"HMDB0000205",-0.998819998922719,9.60026922343597e-05,0.00214064224718648,0.000464260213706697,0.0006203058543,0.00103112162639754
"HMDB0000207",0.00387967446978979,0.00322824777778948,0.00233026699692079,0.00277462059497702,0.00227458686004372,0.00131021414321822
"HMDB0000209",-0.99999886555717,-0.999996306509546,-0.999996700113375,-0.999997747128703,-0.999998357892398,-0.999998646161717
"HMDB0000210",0.00018745336735889,0.000226748962725448,0.000419546933105042,6.87099803231791e-05,3.41497338447669e-05,2.8347767490852e-05
