"","Endothelial cells","Fibroblasts","Granulocytes","Macrophages","T cells"
"HMDB0000157",3.6166813446875e-09,3.28645494976335e-08,4.74772144162545e-09,3.1354522412396e-09,1.7913343244175e-09
"HMDB0000158",-0.979103221719825,0.00107369624378816,-0.996980710725911,-0.976513341084153,-0.99669728666627
"HMDB0000159",-1.99421941421152,-0.998480228101673,-1.99664983130888,-1.97966721610996,-0.991588738857838
"HMDB0000161",0.0144511001950653,0.0436693475868834,0.0025088132439505,0.00354379796465505,0.00375238955925103
"HMDB0000162",-0.93648007236352,-0.933117029616924,-0.9959210996104,-0.908490609016592,-0.99788764002242
"HMDB0000163",1.30962396778537e-10,-0.999999948879899,-0.999999985903097,-0.999999999075265,-0.999999993227721
"HMDB0000164",2.42520648211918e-09,-0.99999996167701,-0.999999999931976,-0.999999998456876,-0.999999995109284
"HMDB0000167",-0.942691649048881,-0.983908507382291,-0.962963218731722,-0.938501846227437,-0.938829569772838
"HMDB0000168",-0.991826013132993,0.00183454959857288,-0.996503624672934,-0.992458935854467,-0.997680450905888
"HMDB0000169",-0.999997728843425,-0.999907371652306,3.63018160821782e-07,-0.999995891542325,-0.999999031483876
"HMDB0000172",-0.992932648001187,0.00140891660444326,-0.996246546616166,-0.993068559060412,-0.997851986746004
"HMDB0000174",-0.999999244280506,1.85135500203923e-06,-0.999992049791587,-0.999999457289733,4.33220931570299e-07
"HMDB0000175",8.26267074511516e-05,7.13247767538276e-06,2.81014397272546e-05,-0.999878351523991,1.82196896686687e-05
"HMDB0000177",-0.978394814566412,0.0105511427817363,-0.990175023542876,0.000714379531523923,-0.954255364554608
"HMDB0000181",0.00479548127944771,-0.999975157095341,-0.99999999909804,-0.999898224246439,-0.999999984392866
"HMDB0000182",-0.976818358855492,-0.984538920002935,0.000299987953734838,-0.993339519201586,-0.998883641284136
"HMDB0000186",0.000170906677649782,-0.995524439096066,-0.996048686792838,0.00463928027647086,0.0258385654053314
"HMDB0000187",-0.987090704288299,0.00213163312955484,-0.994433304487898,-0.981353728796294,-0.997408197606098
"HMDB0000189",1.31782950855506e-06,1.31910104967761e-05,1.46380069410754e-09,-0.999998723397248,-0.999999992268027
"HMDB0000190",-0.945161722054173,-1.99293829193247,-1.95045883394353,-0.934207590888854,0.00838308558623561
"HMDB0000191",0.00223116276640743,6.5702145485557e-06,-0.994826854430741,0.00779485138786505,0.00327618859917929
"HMDB0000192",2.71458151284416e-09,-0.99999996427078,-0.999696072262958,-0.998991735841155,-0.999999983719335
"HMDB0000193",-0.999999928874077,-0.978013741377234,0.287810498383237,0.00970974896671607,-0.989737118433367
"HMDB0000195",-0.99990876797817,-0.999947217099109,-0.999893775701592,0.000138153636051773,-0.999999752196222
"HMDB0000197",-1.94516174024733,-1.99294706511968,-2.95015559197129,-1.93319967222634,-0.991618953102667
"HMDB0000201",2.69480657130184e-05,0.000318988458867135,7.30964461678455e-09,8.98977382062470e-09,-0.999996782526285
"HMDB0000202",-0.999996449567056,0.000145528503908026,-0.999999887363156,-0.999994283848177,3.32528083611156e-07
"HMDB0000205",0.000485145657073272,0.00267263710104557,-0.998200652785665,0.00408104286557685,-0.999402767063169
"HMDB0000207",0.033792465061452,0.0769859490918803,0.0389633110891085,0.0536351307987766,0.0224327904716355
"HMDB0000209",-0.999992143303324,-0.999961867705034,-0.999986288193968,2.42279169016566e-08,-0.999997349967162
"HMDB0000210",0.000722637044748589,0.000435906864129978,0.00105881353620798,0.000315016185068908,0.00173689440234463
"HMDB0000211",-0.999999986856457,-0.999822107723636,9.12459183736977e-09,-0.999803987929829,-0.9999999739756
"HMDB0000212",-0.999999616286035,-0.999989553201217,3.26943785268713e-07,2.58980195865802e-06,-0.999998329405508
"HMDB0000214",-0.945275657564718,-0.995164476311085,-0.999999303146707,0.000802635630315506,2.11938602424814e-06
"HMDB0000215",-0.999999610847414,-0.999998748203829,-0.999997956039263,6.12567933803696e-07,8.74544408338863e-10
"HMDB0000216",1.14571175497873e-08,2.57241436004972e-07,1.06135815136818e-08,1.61532589319484e-08,3.05275907486544e-08
"HMDB0000217",2.39873744142693e-09,-0.999983524402202,3.32679129271374e-09,1.70308261768147e-09,-0.999999998444874
"HMDB0000220",0.0262110025597311,0.0597507827288205,0.0286587181352443,0.0383437973247122,0.0150454919161992
"HMDB0000222",-0.999873135539369,0.000161646755392535,-0.999999970012766,-0.999999945741971,-0.999897951966473
"HMDB0000223",-0.90308509125988,0.0649566663104159,-0.936515222407755,-0.933443019550703,-0.937883056588436
"HMDB0000226",-0.999999899102081,-0.999999900319512,-0.999999983431071,-0.999999989748909,-0.999999998873764
"HMDB0000230",-0.999999737801205,-0.999996207273127,-0.999998430947487,1.97051649796999e-07,-0.999997323280548
"HMDB0000234",-0.99999934824513,-1.99998720791717,-0.999999985296249,-1.99999999005243,-0.999999987456367
"HMDB0000235",2.47047894597908e-06,-0.999996913892487,7.79931327105236e-07,-0.999999171699964,-0.999999924275931
"HMDB0000237",0.00400930382486626,-0.999880622487189,-0.999999619058315,3.15004423890985e-06,4.19966681305577e-05
"HMDB0000239",4.9216579857749e-09,-0.997995562805857,-0.999999994875704,-0.999999991430533,-0.947804688903954
"HMDB0000240",-0.9980247010634,0.00414193948780626,-0.978632069309902,0.0016438935065278,-0.998513155280641
"HMDB0000241",5.66821374532665e-07,1.41765031751743e-05,9.6515301345582e-07,-0.999999999403695,-0.999999312045922
"HMDB0000243",-0.997493975279292,0.0461474248264273,-0.995469133678313,-0.958810070719517,-0.994712806960335
"HMDB0000244",4.54935650220221e-07,3.407800618774e-05,1.14408393557311e-07,2.29413480627403e-05,3.6135879221643e-08
"HMDB0000246",-0.999992991364184,-0.999992341820606,-0.999999985286675,-0.999984585479298,4.14159025887624e-06
"HMDB0000247",0.0622875297747647,-0.994283077945923,0.0711544967229362,-0.925411377349814,0.0386133911387418
"HMDB0000248",5.91948654713102e-09,1.07387597272223e-08,2.86020264005897e-09,3.65789448324605e-09,3.09137496297961e-09
"HMDB0000250",-0.95641071193098,-0.993784221444177,0.0889475496061498,-0.994555283307344,0.0217502130949782
"HMDB0000251",0.000173764416750555,0.000204522083540044,0.00031662695380279,0.000139374659440282,0.000894274328321679
"HMDB0000252",-0.980193266065781,0.0151041591253959,0.00267866806816354,-0.978528228325689,0.00195499159724534
"HMDB0000253",1.98516083376816e-09,1.92612543922708e-07,3.37749847661879e-10,3.00977871632331e-09,3.37796101421564e-08
"HMDB0000254",6.52536235987569e-08,-0.999999997765248,2.61353069561135e-08,1.42520150392839e-08,3.03554111157631e-08
"HMDB0000256",6.71149406331962e-08,-0.999999960860075,-0.999999998527619,1.33376874797272e-08,1.33239821603942e-08
"HMDB0000257",-0.999993492901548,1.58394239447118e-07,4.63104600921127e-08,-0.99999999219574,-0.999999995544316
"HMDB0000258",1.12873187324899e-09,-0.99999999776926,2.71088132380307e-09,2.13955916940223e-09,1.85821822529035e-10
