"","Macrophages","T cells"
"HMDB0001314",1.20449670376007e-05,-0.99999999220006
"HMDB0001325",4.28721354787843e-05,7.23803453194535e-08
"HMDB0001335",-0.999999083447822,2.39926036429334e-06
"HMDB0001337",7.30807917507804e-08,-0.999999928636722
"HMDB0001341",-0.998535572468971,0.000123155321488242
"HMDB0001358",0.0425769996666275,-0.506048833393394
"HMDB0001361",9.99050640086708e-09,6.96192083274445e-06
"HMDB0001373",-0.996971981889905,0.0236684798525624
"HMDB0001377",-0.723152599731167,-0.776896075021169
"HMDB0001381",1.60304985528333e-07,2.12728903051679e-08
"HMDB0001388",0.00256005606069197,8.75059749525465e-05
"HMDB0001389",-0.999980678219106,2.8413914827152e-06
"HMDB0001397",8.74810012832283e-06,-0.999784450974148
"HMDB0001403",1.04089593714054e-07,1.8403449688175e-11
"HMDB0001406",-0.999995795039222,-0.999990496835042
"HMDB0001414",0.00857191598946637,0.135432245601422
"HMDB0001416",0.0028100874614458,-0.974833980024904
"HMDB0001419",-0.99999993350213,2.03880948351832e-08
"HMDB0001423",-0.99959062973244,-0.999416415570609
"HMDB0001425",-0.999990630667369,-0.999996860146102
"HMDB0001426",1.33015352775062e-06,-0.999970326323364
"HMDB0001431",7.28486629823192e-09,-0.999999985980427
"HMDB0001432",9.96337850862604e-08,1.19542272039105e-09
"HMDB0001434",1.51824186532734e-05,-0.999997287020733
"HMDB0001438",-0.999999998420531,2.33070539417903e-09
"HMDB0001440",0.00113791136016313,-0.992292738724525
"HMDB0001442",3.66302774873679e-06,-1.99999999543594
"HMDB0001448",-0.999945013082572,8.12855778492065e-07
"HMDB0001449",2.42232338487028e-08,2.02083708828911e-09
"HMDB0001451",-0.999999914135662,-0.999999993702045
"HMDB0001452",-0.999988361346456,-0.999996987928703
"HMDB0001453",7.60683439718894e-07,3.33288385189792e-08
"HMDB0001455",2.42232338487028e-08,2.02083708828911e-09
"HMDB0001473",0.00022015492915871,-0.997648141369601
"HMDB0001476",9.05628392985136e-08,-0.999999967663044
"HMDB0001483",1.56207427882393e-08,4.30629736348947e-10
"HMDB0001488",-0.999999973267726,1.55608266056137e-08
"HMDB0001492",-0.999999052650679,-0.999999947343267
"HMDB0001509",4.14254628714065e-06,4.32950913472644e-07
"HMDB0001514",-0.999996180935023,-0.999999995963147
"HMDB0001517",-0.999937869975909,2.31974811555162e-07
"HMDB0001520",0.000421190165077456,-0.999957594666518
"HMDB0001545",-0.99990260185664,0.00078801399600279
