"","Macrophages","T cells"
"HMDB0000708",1.05224696415507e-07,2.62451185365336e-08
"HMDB0000710",4.90957396527159e-07,3.88011595886628e-07
"HMDB0000714",1.25008589169255e-05,-0.99999891194746
"HMDB0000716",0.000114045733510166,0.000201893172581846
"HMDB0000717",-0.999999982087321,-0.999999983392137
"HMDB0000719",-0.999997283009171,-0.999993664083492
"HMDB0000721",0.0271528261113589,0.0440566089789264
"HMDB0000722",8.4756436380313e-08,2.67711431818378e-08
"HMDB0000725",0.00535998788965332,1.79434177265837e-05
"HMDB0000730",1.80239720216121e-09,-0.999999996787308
"HMDB0000733",-0.999999574024057,-0.999999807747666
"HMDB0000738",-0.999999997420148,4.07286829407406e-09
"HMDB0000742",0.0237522237014249,-0.836876103770757
"HMDB0000745",3.1377937257848e-06,8.16529499455598e-09
"HMDB0000752",6.70481454872941e-06,1.16295104283557e-06
"HMDB0000754",4.66601086987645e-06,3.79759397826865e-08
"HMDB0000755",0.00146303481269695,0.00502475885754021
"HMDB0000756",5.24676864844907e-05,-0.999798035615377
"HMDB0000757",-0.999945256095116,-0.999996561263594
"HMDB0000759",-0.999999999861448,-0.999999998112716
"HMDB0000760",-0.999999976312127,-0.999999983427917
"HMDB0000761",-0.999999982087321,-0.999999983392137
"HMDB0000766",-0.999999998964241,6.03565022017972e-09
"HMDB0000772",2.92258458742084e-05,7.3005921958639e-06
"HMDB0000774",4.52766961721747e-08,2.52773870671287e-09
"HMDB0000779",-0.997619376316219,0.021516045298839
"HMDB0000784",2.76178459111055e-06,-0.999997406092182
"HMDB0000795",4.05061447762426e-07,2.12639956128334e-08
"HMDB0000801",-1.99999972545695,-1.99999993999612
"HMDB0000803",1.92633620917082e-07,-0.999998741140778
"HMDB0000806",0.00977994578466357,0.00313512991163026
"HMDB0000807",2.38525694953819e-05,-0.999999976785066
"HMDB0000811",1.66823684965368e-08,2.45584831081008e-09
"HMDB0000819",-0.999999735232031,6.1711553642255e-07
"HMDB0000821",4.58795486727985e-08,3.22063190966136e-08
"HMDB0000826",2.83954665845789e-05,7.3144470411952e-06
"HMDB0000827",0.0119329540530045,0.00355036577805025
"HMDB0000847",-0.999996892683266,2.43671149662702e-06
"HMDB0000848",8.88155814577969e-05,-0.999999937335232
"HMDB0000865",-1.99999995636454,-3.99999995659857
"HMDB0000866",0.00104978058759276,1.55500522989276e-06
"HMDB0000870",9.09095438434649e-08,-0.999999983413177
"HMDB0000876",0.0219681405797434,0.000858384073380358
"HMDB0000881",5.4118246789077e-09,1.22721473976228e-08
"HMDB0000883",-0.999721114940482,-0.994101066140641
"HMDB0000892",-0.999999928330449,-0.999999958854048
"HMDB0000893",-0.999972923090309,-0.999999970293039
"HMDB0000895",9.22515455844134e-08,1.79001508491091e-09
"HMDB0000896",2.49014918787192e-07,2.1018589354846e-07
"HMDB0000898",-0.999999985151919,2.0239126693867e-08
"HMDB0000899",2.02008666049626e-07,6.89993214182049e-09
"HMDB0000900",-0.999999993614873,1.41228915697313e-09
"HMDB0000902",-0.993808785721879,0.0394337798868927
"HMDB0000904",8.01223562002745e-06,0.000422475860652615
"HMDB0000908",8.62577482579227e-09,1.87056876411657e-09
"HMDB0000910",2.84252258845707e-05,7.21458177843532e-06
"HMDB0000916",3.41577126519508e-07,7.28873035353001e-08
"HMDB0000929",2.19302954442305e-05,-0.998443875664611
"HMDB0000932",3.91756141436231e-08,1.3563308975042e-08
"HMDB0000933",-0.999972575429551,-0.999999992715741
"HMDB0000936",2.549629033172e-06,3.77378663316741e-08
"HMDB0000939",-0.997937725649539,0.0131756496200489
"HMDB0000943",7.80692035153495e-06,-0.999998610601525
"HMDB0000944",2.43942144269255e-05,7.22862165988404e-06
"HMDB0000946",-0.999999940341367,-0.999999958174783
"HMDB0000947",-0.999999924595407,-0.9999999589455
"HMDB0000949",2.81852890107272e-09,3.82544357409335e-08
"HMDB0000951",2.81852890107272e-09,3.82544357409335e-08
"HMDB0000962",-0.999999991112896,-0.999999987059407
"HMDB0000972",3.08160673219748e-06,-0.999999997190398
"HMDB0000975",-0.999999994608443,2.0271475415946e-08
"HMDB0000990",0.0258744158523762,0.093058856291671
"HMDB0001008",-0.999997499413746,4.07590002992556e-07
"HMDB0001039",2.12505086192105e-07,1.37466498532154e-08
"HMDB0001043",0.00113675968476358,0.000197521524214231
"HMDB0001044",-0.999576055588358,4.05678774822424e-08
"HMDB0001050",6.23046590044296e-09,-0.999999995416264
"HMDB0001051",0.0352492194201654,-0.971928736890233
"HMDB0001056",3.08160673219535e-06,-0.999999997190398
"HMDB0001072",0.0115101488101054,-0.920529220313746
"HMDB0001080",-0.99999661858808,-0.999999957762051
"HMDB0001085",-0.999999941026419,2.14558813915176e-09
"HMDB0001123",2.18628130836147e-08,-0.999999991934713
"HMDB0001129",-0.999999947955041,-0.999999979726866
"HMDB0001138",1.00927131031387e-08,5.18015062068902e-09
"HMDB0001139",6.89708773596085e-08,-0.999999998138371
"HMDB0001149",6.2053343414592e-05,7.89847472859257e-06
"HMDB0001160",2.87435321526081e-05,7.38181371280046e-06
"HMDB0001167",2.23565040781401e-05,-0.999913475241237
"HMDB0001175",-0.999999762979275,-0.999999963244863
"HMDB0001178",1.45305661278852e-08,5.09915443661373e-09
"HMDB0001185",0.00158761396483162,-0.98893931400939
"HMDB0001198",4.44468620553628e-08,1.33531399017662e-07
"HMDB0001201",-0.999997763217203,-0.999999368668823
"HMDB0001218",1.0793450179756e-11,5.98815936924831e-09
"HMDB0001220",-0.999993213591411,-0.999999997166048
"HMDB0001227",1.67674939453134e-05,-0.999999994552423
"HMDB0001232",4.23128378127909e-06,9.17635787903319e-09
"HMDB0001248",-0.99933031454397,-0.997449241316723
"HMDB0001251",-0.999999888214898,-0.99999997663973
"HMDB0001256",5.45246257639566e-06,4.65947709507069e-06
"HMDB0001257",-0.999999988780822,1.75943356478558e-09
"HMDB0001259",-0.999998139637302,9.67201737716755e-06
"HMDB0001261",3.41577126519508e-07,7.28873035353001e-08
"HMDB0001262",5.94748908352368e-11,-0.999999999938308
"HMDB0001264",-0.999431913791406,0.00361139682746636
"HMDB0001273",-0.999988159472974,6.11408589284488e-07
"HMDB0001274",-1,0
"HMDB0001296",2.88744897096189e-09,5.87451753503369e-09
"HMDB0001304",-0.988016551710252,0.076327464694439
"HMDB0001310",-0.986910858615924,-0.959391130766049
"HMDB0001311",-0.957080595738422,-0.986305045781865
"HMDB0001314",2.24667890652891e-05,2.11555835812309e-08
"HMDB0001325",6.43769800758887e-05,0.000284626695619146
"HMDB0001335",2.65171631946128e-07,2.55051700702289e-06
"HMDB0001337",-0.999999967104926,4.86712577515024e-08
"HMDB0001341",-0.9983747062888,0.00100969158432556
"HMDB0001358",0.0295950451928317,-0.795573326312223
"HMDB0001361",-0.999997322159451,-0.99999976832808
"HMDB0001373",-0.993916227016085,0.0349044010134185
"HMDB0001377",-0.714517786223032,-0.842518671960208
"HMDB0001381",5.16619981756585e-08,-0.999999987651688
"HMDB0001388",0.00267811579188453,0.000832795020992109
"HMDB0001389",-0.999990256670784,-0.999981400861856
"HMDB0001397",4.49456796951015e-06,4.65784264609449e-06
"HMDB0001403",1.00220552014029e-07,-0.999999963161069
"HMDB0001406",-0.99998723195729,-0.999999939593722
"HMDB0001414",4.83879304704984e-06,-0.999999994380902
"HMDB0001416",0.00578197072117685,-0.962150036398574
"HMDB0001419",-0.999999952494156,8.27383656312469e-09
"HMDB0001423",-0.999720067154796,-0.999848091819638
"HMDB0001425",-0.999987064674682,-1.99999992492237
"HMDB0001426",-0.999985360840164,4.86777509118647e-05
"HMDB0001431",8.13082198756598e-07,-0.999999961450987
"HMDB0001432",9.33254872216833e-08,3.43668986719331e-09
"HMDB0001434",4.32632540073543e-05,0.000680567386646766
"HMDB0001438",-0.999999993862793,1.53878307381254e-09
"HMDB0001440",0.000407175831202422,-0.99999995776143
"HMDB0001442",-1.99999982020652,-1.99999998563573
"HMDB0001448",-0.999989804606901,-0.999999364640032
"HMDB0001449",2.40919035147585e-08,3.65272953536828e-09
"HMDB0001451",-0.999999945521118,-0.999999992427133
"HMDB0001452",-0.999986810229835,1.70430376280706e-06
"HMDB0001453",3.86461475151393e-08,3.34028892376431e-08
"HMDB0001455",2.40919035147585e-08,3.65272953536828e-09
"HMDB0001473",-0.99747245931858,0.0162394997263626
"HMDB0001476",1.77213169920596e-08,5.02117284672351e-08
"HMDB0001483",1.90513795080632e-08,-0.999999999868806
"HMDB0001488",-0.999999993926573,-0.999999989011529
"HMDB0001492",-0.999998708665306,-0.999999952360881
"HMDB0001509",-0.999999250006644,-0.999999840959854
"HMDB0001514",-0.999995595877405,-0.999999740433967
"HMDB0001517",-0.999972102889178,-0.999986995839283
"HMDB0001520",-0.999115386214843,-0.997482891191411
"HMDB0001545",0.00937181076576426,0.00016444947908093
"HMDB0001546",3.42832019986619e-05,-0.999999993951176
"HMDB0001547",-0.999999987014699,-0.999999992364804
"HMDB0001565",-0.999996410537039,9.1828101467623e-05
"HMDB0001586",6.05309034697087e-05,0.000324638486306124
"HMDB0001644",-0.999997731080293,-0.999999989926548
"HMDB0001659",2.50585835958459e-05,0.000446042190646443
"HMDB0001721",-0.999990002777078,5.7363030826364e-06
"HMDB0001830",-0.999999925408942,1.54329858092719e-08
"HMDB0001842",5.03450639057985e-10,-0.999999999705879
"HMDB0001851",0.0366843409164903,-0.74661999215607
"HMDB0001852",-0.988546688467286,0.0729953928898876
"HMDB0001855",1.69575429519685e-09,-0.999999985849484
"HMDB0001858",1.6028838700924e-09,1.49231093401362e-08
"HMDB0001870",-0.999986265497719,-0.999989192203866
"HMDB0001874",0.0200606175771641,-0.976720220751758
"HMDB0001875",-0.999998359249862,-0.999989019113708
"HMDB0001877",8.43574346814915e-05,-0.999985703915826
"HMDB0001882",-0.999613558956656,-1.99962082991885
"HMDB0001893",1.22999181121367e-08,-0.999999999570483
"HMDB0001896",-0.99999999380934,1.66347735191685e-08
"HMDB0001903",4.5386160757133e-09,-0.999999991871906
"HMDB0001913",1.0793450179756e-11,5.98815936924831e-09
"HMDB0001921",5.03450639057985e-10,-0.999999999705879
"HMDB0001967",0.0839081739346142,-0.761103098241104
"HMDB0001976",8.43574346814915e-05,-0.999985703915826
"HMDB0001999",0.00022523541153132,3.2262279820416e-05
"HMDB0002003",2.86314662515679e-05,7.28121102064005e-06
"HMDB0002024",7.96184399288316e-09,-0.999999981231908
"HMDB0002027",-0.999999999660916,2.18428464409227e-09
"HMDB0002031",5.55375496049514e-09,-0.999999977825352
"HMDB0002035",-0.999999990156342,4.23757003164259e-09
"HMDB0002059",-0.999999982689519,-0.999999991912328
"HMDB0002078",1.65507078906792e-08,1.59890026658214e-08
"HMDB0002092",-0.99998083801203,-0.999994052123782
"HMDB0002103",3.0335847017988e-07,1.7996063186907e-06
"HMDB0002111",-0.424796945090493,-0.57680749662825
"HMDB0002134",-0.999999987853545,-0.999999963185266
"HMDB0002152",0.0295950451928317,-0.795573326312223
"HMDB0002158",-0.999988189226831,6.38955210703202e-08
"HMDB0002179",0.00589243061197432,-0.959353783445991
"HMDB0002183",0.000385339764337001,-0.999621007454467
"HMDB0002190",1.11434876112064e-08,-0.999999941546453
"HMDB0002200",1.18540642463234e-07,-0.999999987954087
"HMDB0002211",5.76223003622826e-06,-0.999999999954989
"HMDB0002212",2.41773823995397e-05,7.20173581575693e-06
"HMDB0002226",0.000107927425008772,0.000254630136511527
"HMDB0002231",2.47592391143596e-05,7.28774907281141e-06
"HMDB0002232",1.11434876112064e-08,-0.999999941546453
"HMDB0002243",-0.999999075610169,1.10691710583072e-06
"HMDB0002259",2.86310374959074e-05,7.07516774662696e-06
"HMDB0002275",6.8652567395056e-08,4.88425754291043e-09
"HMDB0002283",-0.999999894434402,-0.999999908985869
"HMDB0002329",4.78998368829188e-06,-0.999998586717328
"HMDB0002345",2.98772991118208e-05,7.30181410540721e-06
"HMDB0002356",2.93764981486906e-05,7.29955680361328e-06
"HMDB0002368",2.99988233836053e-05,7.29227251245369e-06
"HMDB0002369",-0.988546688467286,0.0729953928898876
"HMDB0002504",2.08188256331613e-08,-0.999999997387618
"HMDB0002639",3.4193958889131e-08,-0.999999997783081
"HMDB0002642",3.71104027187367e-09,-0.999999993548925
"HMDB0002656",7.4323296522606e-08,3.53547131572808e-09
"HMDB0002664",0.000718916347793645,-1.99999990508794
"HMDB0002666",-0.999994180981136,1.06576446791194e-05
"HMDB0002685",1.06228621209013e-07,2.97559270675355e-08
"HMDB0002704",3.05485529118272e-09,-0.999999995923271
"HMDB0002710",-0.999820352771112,0.00114397823061461
"HMDB0002719",-0.999999957246746,3.21947872762295e-06
"HMDB0002752",0.00139727763064954,1.59012725257259e-08
"HMDB0002757",-0.999996803480697,-0.99999537288678
"HMDB0002759",-0.999999997543645,7.26259060114467e-10
"HMDB0002786",-0.993864920996364,0.0390385106062947
"HMDB0002802",7.92665430398756e-07,-0.999192927741929
"HMDB0002818",5.39217128873082e-05,-0.99971076655425
"HMDB0002820",7.49400279700843e-09,1.29887802511431e-09
"HMDB0002823",2.87044757148398e-05,7.3083453025263e-06
"HMDB0002833",-0.999994865254505,-1.99999998749617
"HMDB0002845",-0.999988336200522,-0.999995917288275
"HMDB0002886",-0.973554173701487,0.168464932734489
"HMDB0002917",-0.999999981801894,-0.99999999812737
"HMDB0002923",-0.999999996215176,4.01864373441511e-09
