"","Basal III cells","Fibroblasts","Macrophages"
"HMDB0000097",0.0227374556909924,0.0249107632468842,4.60512390944389e-08
"HMDB0000098",4.692918875736e-09,-0.999998119596663,3.50387015649848e-09
"HMDB0000099",-0.999999992857591,-0.999999990587895,-0.999999994103492
"HMDB0000101",-0.997949263956809,-0.999406862084228,4.82612665314311e-05
"HMDB0000107",-0.999999996067899,2.11987007262971e-09,4.56905902260695e-09
"HMDB0000108",1.17797352403606e-05,-0.999994133482646,-0.999987080581831
"HMDB0000112",8.89074331353813e-08,8.76709992597752e-08,1.70288127418884e-08
"HMDB0000115",-0.999998928122188,2.40751626989447e-06,5.65722968534955e-07
"HMDB0000118",6.61420125828821e-08,3.36464397477374e-08,-0.999999996405293
"HMDB0000119",3.91943955832603e-06,1.03163135908164e-07,1.49353520884842e-06
"HMDB0000121",-0.999995765394103,-0.999998123194881,-0.999999941970682
"HMDB0000122",0.00506288731250638,-0.956133917166736,-0.988503408840875
"HMDB0000123",0.387538342424999,0.50257667611729,0.33604765353971
"HMDB0000125",-0.999994644597412,-0.999987371038262,-0.999997182264157
"HMDB0000126",0.0205061694096561,-0.973132136792853,-0.859716559838778
"HMDB0000127",0.000300460386439011,0.000152639239488977,0.000146222953572838
"HMDB0000128",-0.999999956978443,-0.999999974011929,0.00486856968088664
"HMDB0000130",1.22035105459431e-08,9.73874066365009e-09,9.59247771979328e-09
"HMDB0000131",0.0476650512257553,-0.956387051467028,0.000146760964264134
"HMDB0000132",-0.999999949390914,-0.999999981705442,1.50454127309123e-10
"HMDB0000133",-0.999991372651671,-0.999917061053098,-0.999999380379554
"HMDB0000134",0.0229426766653071,0.0143182960907647,2.76427994281231e-07
"HMDB0000138",-0.99999957038703,6.65434075379222e-07,-0.999998830134702
"HMDB0000139",0.00283868028889318,0.00421438383827711,0.00861521460206383
"HMDB0000142",1.08578199353173e-05,1.85528737528998e-06,7.92990792244493e-07
"HMDB0000143",5.28448019204923e-05,-0.999997383355821,4.16204502397343e-06
"HMDB0000145",1.51689699696374e-05,8.05754493937156e-06,-0.999996916230378
"HMDB0000148",-0.992166717114533,0.0116202129209857,-0.978757038834171
"HMDB0000149",0.000382452680543335,0.00113891526850684,8.59349137263967e-06
"HMDB0000151",-0.999990043658852,-0.999994257515731,-0.999993827534908
"HMDB0000152",-0.999999993558206,-0.99999999934189,-0.999999993489996
"HMDB0000153",-0.999995349905388,-0.999997902744833,9.38008392509892e-06
"HMDB0000156",0.0480050297046053,-0.92022679613625,-0.772375094177741
"HMDB0000157",-0.999999900932754,-0.99999995841264,-0.999999974432494
"HMDB0000158",-0.994692947331363,-0.992273444311277,0.00369315263075211
"HMDB0000159",-1.99563345392324,-0.997485062040068,-0.996573817339521
"HMDB0000161",-0.998740214075895,0.062089604400587,0.154818415349939
"HMDB0000162",-0.932979922105875,-0.935437886441734,-0.827230244411672
"HMDB0000163",5.91670933490974e-09,1.04680963393191e-08,3.63775375891305e-09
"HMDB0000164",-0.99999999387883,-0.999999989304554,5.57036672589853e-09
"HMDB0000167",-0.960961481475435,-0.919105806021197,-0.885161420655205
"HMDB0000168",-0.997903063235497,-0.998071493474332,0.00340822060384616
"HMDB0000169",-0.999922042324702,-0.999980224790303,4.66870878731926e-06
"HMDB0000172",-0.996548542953836,-0.995732396607351,0.00271400850949083
"HMDB0000174",-0.999998260359434,2.80582994416359e-06,-0.999998910703852
"HMDB0000175",-0.998485269845212,0.000416710527473136,0.0166212215579551
"HMDB0000177",0.0128278269463098,-0.954598262037046,0.0322886880482016
"HMDB0000181",-0.999219055811847,0.00701048928385043,-0.991207621984846
"HMDB0000182",-0.988133915283304,-0.975481691589522,-0.966318004858621
"HMDB0000186",0.0033350394300056,-0.982704523662533,0.044995509735693
"HMDB0000187",-0.991147990316232,-0.993542527193177,0.00650360234350388
"HMDB0000189",-0.999944419881498,-0.99991410488666,3.60286212791104e-06
"HMDB0000190",-0.900921667069642,0.0273417897747525,-0.910646830596596
"HMDB0000191",0.00376380255021608,0.00351541940654608,0.00404447921721962
"HMDB0000192",-0.994366978660369,-0.991588395482045,-0.987035113308634
"HMDB0000193",-0.992855513654016,0.0505156974808872,-0.921329255199962
"HMDB0000195",0.00127088403804313,-0.999748372805889,-0.984259273115782
"HMDB0000197",-2.89529592512287,-0.964248528510694,-0.8976821530042
"HMDB0000201",0.00118646337535803,-0.998331791217431,-0.999999984967586
"HMDB0000202",6.84894592608227e-05,6.25079406009122e-05,-0.999999307690082
"HMDB0000205",-0.999228333829958,0.00230440213602192,0.0039632158826334
"HMDB0000207",0.0989015522427028,0.0846339749028736,0.0230408965810405
"HMDB0000209",-0.999975397517424,-0.999994486400582,1.05244323075726e-05
"HMDB0000210",0.000233087753800755,0.000887607413234225,0.0209127572239999
"HMDB0000211",-0.998056513022483,-0.998134137081438,-0.999329104964434
"HMDB0000212",-0.999989847910041,-0.999999078276395,7.09491126588038e-05
"HMDB0000214",-0.996496544486485,-0.871455260341636,0.00544546256787743
"HMDB0000215",1.09646504553566e-09,-0.9999999997871,1.5992143655536e-10
"HMDB0000216",5.21046744788581e-08,4.10344051515597e-08,3.28626242118635e-08
"HMDB0000217",3.41739842548773e-09,-0.999999999640232,3.02630354586367e-09
"HMDB0000220",0.0774321280368193,0.063370365338782,0.0170526305103052
"HMDB0000222",0.00105569756032175,-0.997525202581387,-0.999999933769669
"HMDB0000223",-0.976480813531205,0.0628003639671518,0.202039953248199
"HMDB0000226",0.000136964742439123,-0.999983804189141,-0.999999998838279
