"","Endothelial cells","Fibroblasts","Macrophages","Myocytes","Neutrophils","NK cells","T cells"
"HMDB0000190",0.00373697635889828,-0.985879984412747,-1.99594556571867,-1.98400035787815,-1.96837058330594,-0.941390706905255,-0.969792873769576
"HMDB0000191",0.00104853327642992,0.000966471181406993,0.00998083961716124,0.0109436001944061,0.0144181241937347,8.41463412310977e-05,0.00151778822541891
"HMDB0000192",-0.999000245907708,-0.996166161258704,-0.997448921171775,-0.998803181093939,-0.99678421828529,-0.999999992959856,-0.999688310207333
"HMDB0000193",0.05530025987704,0.021971920507605,0.0499806404943378,-0.999999967629992,0.17028252519318,-0.920576040774201,0.0310833385082869
"HMDB0000195",0.000892245174337302,-0.999585989407442,0.00078061716535461,0.00108868813397016,-0.999999920957691,0.00285101361614064,-0.998804339604167
"HMDB0000197",-1.99526409875361,-0.982046733844778,-1.99339496658458,-1.98280909942111,-1.96515570598862,-1.94139130079603,-1.96948339159332
"HMDB0000201",-0.999999994616634,1.33633223644655e-05,0.000674204633516514,2.1781783625762e-09,0.000124758064960893,-0.999914242662518,-0.999902011208776
"HMDB0000202",0.000116251867651476,2.05187586962615e-05,-0.999829060396473,-0.999971883802204,-0.999843192691551,-0.999966808985392,0.000106519380039428
"HMDB0000205",0.000900215097887946,0.000286160356922777,0.00113845982523503,0.00109983985944447,-0.999999998528826,0.00132795945849421,-0.999752707686922
"HMDB0000207",0.0199376320867432,0.0252537295660757,0.0203494185995759,0.0187389089280388,0.00910955287823488,0.0130047416299382,0.0451179562669884
"HMDB0000209",-0.999997752313986,-0.999986829121664,-0.999992872436561,-0.999987842484779,1.08584873295949e-07,-0.999994197028684,-0.999994374550504
"HMDB0000210",0.000208417884901415,0.000324177608121249,0.000309796343219337,0.000227303312484445,0.00232659389269197,0.000428104422195612,0.000222241611361722
"HMDB0000211",-0.999562178039887,5.71456237906933e-07,-0.999567494438598,2.43538871296899e-08,3.28086078561352e-08,1.22106663327355e-09,-0.999403329782982
"HMDB0000212",4.41889223670094e-07,9.99378085400008e-08,2.7117790899836e-07,4.73455809419497e-06,1.596392904056e-06,2.29041406086096e-07,-0.99999590376924
"HMDB0000214",-0.977749460129257,-0.945407339048473,-0.969960505998317,-0.985177943077171,-0.822699448150434,7.80428656686896e-09,-0.978247362810283
"HMDB0000215",2.69627573379915e-07,-0.999999631869405,-0.999999538999498,-0.999998799022775,-0.999998716868292,-0.999999512121174,-0.999999097235756
"HMDB0000216",-0.999999980644494,7.67017413387188e-08,2.76557345757913e-08,-0.999999991834827,-0.999999991771706,2.61947156814886e-08,4.27106271824239e-09
"HMDB0000217",-0.999963081596084,-0.999929551005608,-0.999961367224518,-0.999933282450215,4.41324840606705e-09,3.98893463144067e-09,-0.999983999699985
"HMDB0000220",0.0152615128482447,0.0171322208837106,0.0131654478993144,0.0120751766774688,0.0023224971676864,0.00952533069739636,0.0338971728801465
"HMDB0000222",-0.999999973791887,0.00119215385891715,0.00032808537809195,-0.999999989157442,-0.999222619133319,0.000173752662194376,-0.99975811482436
"HMDB0000223",-0.917292810552134,0.149949815165775,-0.962799698750934,0.0812916568015237,0.0154834995423227,-0.981214840836727,-0.977339871027973
"HMDB0000226",-0.999999982609553,-0.999999990164628,-0.999999992289396,-0.999985779380683,-0.999999983034794,-0.99999998875806,4.17295371308191e-05
"HMDB0000230",-0.999999502490832,5.61119927195819e-07,-0.999999414716266,-0.999999404631284,-0.999996052687527,-0.999999331700168,-0.999996926595405
"HMDB0000234",1.58548326741699e-07,-1.99999997111419,-1.99999943113141,-0.999999808925097,1.32910650073584e-08,-0.999998862501219,-0.999999896452262
"HMDB0000235",1.87629879825674e-07,-0.999998891173799,5.96420532925288e-07,1.10420067423141e-06,3.54352567010112e-06,1.71131749499406e-06,1.46467348318178e-06
"HMDB0000237",0.00197991320382037,0.000457546471086423,4.93453312913752e-05,-0.999997405874605,2.9480225640071e-05,1.22979162811482e-05,5.01493054853789e-05
"HMDB0000239",-0.992676021265109,-0.999999993180312,-0.978046719570907,-0.991096838861056,1.71920624199155e-08,-0.958318745883151,-0.978863279557544
"HMDB0000240",-0.99458317845716,0.0006730987165306,0.0195655384784644,-0.950509921796843,0.0137175625770483,-0.951529497285238,0.0167899087047449
"HMDB0000241",-0.999999518813134,8.34067787207e-09,4.01971368097445e-09,-0.999999998326738,-0.999999999273221,2.76433584752137e-09,3.99720415915555e-09
"HMDB0000243",0.0134616130516693,0.0173018753309969,0.0147301573502199,0.0017880880023646,0.0127307333060936,0.00584845036158187,0.000776921985526205
"HMDB0000244",0.000476644260510332,0.00194853461522321,-0.999999977964163,2.20370330971902e-06,2.73077645644055e-08,6.87908186489019e-08,0.000587155594667362
"HMDB0000246",-0.999996962490848,-0.999999333158613,-0.999996527459323,-0.999996256384084,-0.999999991945606,-0.999999997389452,-0.999999626722857
"HMDB0000247",0.0237786566064752,-0.979379903001633,0.0137004795389505,0.0193272133796628,0.0518823664943584,0.0176927029390923,-0.984913238390233
"HMDB0000248",-0.999999999978578,-0.99999999847461,-0.999999998469823,1.86936054869206e-10,-0.999999995375763,-0.999999998889917,-0.999999995776819
"HMDB0000250",-0.929532331910071,-0.975082914325026,-0.98885334497156,-0.998199813803798,0.151130432685885,-0.978452978461941,0.0173579462934825
"HMDB0000251",9.0701360548026e-05,0.000133124642889087,0.000107534133436659,4.76091978599476e-05,0.000616328506827018,0.000505748802896412,6.73611556580057e-05
"HMDB0000252",0.00261075959559165,0.00682596089685925,-0.990956202363342,0.00271949861036722,1.81052097722331e-05,0.0142157069442949,-0.9993082235017
"HMDB0000253",-0.999999999277558,5.30174220000149e-09,6.50763948367438e-09,1.64039282846344e-09,-0.999999998140503,1.72324315508213e-08,1.85548262259254e-09
"HMDB0000254",-0.999999995773851,-0.999999950725204,-0.999999970452704,-0.999999972817222,3.72013508188876e-09,-0.999999993259083,-0.999999990152191
"HMDB0000256",2.44330681747018e-08,-0.999999983325426,9.91481053336291e-09,1.97848062994526e-08,4.76261595502111e-08,-0.999999970570096,4.54088480040561e-08
"HMDB0000257",-0.999999991540348,9.77237867831551e-07,-0.999999998595676,-0.999999904356428,-0.999996687642222,-0.999999995053146,-0.999999942673151
"HMDB0000258",-0.999999999663237,1.08692504466363e-09,-0.999999999982514,1.88593815849249e-09,5.68930245918283e-09,1.27545837332105e-09,5.09279162580372e-09
"HMDB0000259",-0.999999999380561,-0.999999993522732,-0.999999998547025,-0.999999996823597,4.35483315386788e-09,-0.999999996247749,-0.999999987057896
"HMDB0000262",1.26947395274974e-09,3.25516305973925e-10,7.19459579894842e-10,7.70748078239643e-10,2.52462160540644e-10,4.78039614895472e-10,4.76816406261035e-09
"HMDB0000263",-0.974511724062177,-0.913985772317813,0.0265680263295338,0.0736269074998106,-0.972224289785524,0.031484495311815,-0.998131671907847
"HMDB0000265",-0.999999997384661,-0.999999996854946,-0.999999991627831,-0.999999998058208,3.16922759513982e-09,3.30269837000475e-10,-0.999999979936283
"HMDB0000267",-0.999999212343387,2.88246777923841e-09,1.536604394738e-09,5.12544612567824e-07,2.95342301930598e-09,-0.999999164589713,2.90267386879217e-09
"HMDB0000269",0.00220167406598922,-0.995606036238887,-0.999075776382813,-0.998713759520141,0.00399488613294787,-0.999080016812271,0.000823821678529836
"HMDB0000271",-0.99999999964785,-0.999999995819588,-0.999999997220679,-0.999999999390033,-0.999999999157753,-0.999999998044355,-0.999999979628201
"HMDB0000272",-0.999995697330182,-0.999995448132482,0.00134328142165411,-0.999994957530798,-0.999884231069478,-0.999993385723665,-0.999749734714709
"HMDB0000273",-0.999999999386647,-0.999999893912639,4.23893840945551e-05,-0.999999988597072,1.24822041339815e-09,1.46176584548929e-09,6.38345925941514e-05
"HMDB0000277",-0.993748719011955,-0.999359897345759,0.005027897343171,-0.997409051305775,-0.998298983642972,-0.999999949533043,0.00160207415122757
"HMDB0000279",1.04799231769067e-09,9.64673485036236e-09,8.23099024264632e-09,-0.999999994459238,-0.999999997582107,1.13387223430939e-08,1.83806174885432e-08
"HMDB0000283",-0.999999972131541,-0.999999982680534,4.41000000231907e-09,-0.99999999814285,2.26943294120404e-09,-0.99999999586623,-0.999987125795818
"HMDB0000285",0.000151483838652852,-0.998685937345397,0.00083279859328569,-0.996943234275265,-0.999901120295832,3.33483836101918e-06,0.00134394754474284
"HMDB0000288",-0.996429890896732,0.000641108539244369,-0.999456824414402,0.00215330742667016,-0.998721072439077,2.41287459396547e-08,0.000142045710277278
"HMDB0000289",-0.999568700393643,-0.994428817271918,-0.998501224035356,-0.999816808380309,0.00424420230952172,-0.99963790978084,0.00145798257101497
"HMDB0000291",2.49410586252579e-09,2.10204525434525e-09,-0.999999995973838,1.28909962829173e-09,2.44966258779444e-09,5.6042676811812e-10,3.28201971106544e-06
"HMDB0000292",2.00285066612793e-05,1.37313783286171e-05,1.32606865872795e-05,2.09254622527526e-05,-0.999959658527597,-0.999999968518231,-0.999998111921601
"HMDB0000293",-0.999999993646278,1.61600626541465e-06,-0.999995611952092,-0.99999727343001,-0.999999988031206,1.30009804193094e-08,-0.999983283033329
"HMDB0000294",0.000737773376872365,0.00557493347270632,0.00209909439529963,0.000182303816829579,-0.99675005011605,0.000364191438330148,-0.998709140629884
"HMDB0000295",6.16536476858212e-05,4.57371419055685e-05,0.000123410006646303,1.29901314295268e-05,5.01860160228945e-05,9.26387318549664e-07,-0.999978888734196
"HMDB0000296",0.00378868955231589,0.000180111020656124,0.000932521005556779,0.000864292485772182,0.00132401358917455,1.16796858540273e-07,-0.998019281976946
"HMDB0000299",-0.999997311536793,6.10837276238018e-06,5.48384621579398e-07,5.09408560487124e-06,2.40959562615444e-06,4.57150331983549e-06,-0.999998521917055
"HMDB0000300",1.39323461125735e-08,1.33708172793657e-08,1.16533119391514e-08,1.60246253675368e-08,4.88537299144546e-09,9.32604266252135e-09,6.65243179675432e-08
